column_name,proper_column_name,description,source_question,responses,dependent_variable,model_type,prefix_group,notes,flag_threshold_positive,flag_threshold_negative,score_high_means,is_subgroup_only,complementary_field,aggregation_guidance
hs_amazon_good_jobs,Amazon Good Jobs,Amazon: Respondents who said 'good jobs' vs. those who said 'exploitive',Do you believe Amazon treats its warehouse workers and delivery drivers fairly? Do you think these are good jobs that pay well or that Amazon is exploitive with the demands it places on workers?,"Good Jobs, Exploitative, Unsure",Respondents who said 'good jobs' vs. those who said 'exploitive',score (0–100),hs_,Postive_FLAG: 20%,20%,,higher score = more likely to hold the stated/positive position,no,,Use mean score per district (0–100 scale). Scores above ~60 indicate meaningful lean; below ~40 indicate lean in opposite direction. Flag threshold (if present) marks the actionable tail population.
hs_amazon_exploitative,Amazon Exploitative,"Amazon: Respondents who said 'exploitive' vs. those who said 'good jobs','unsure'",Do you believe Amazon treats its warehouse workers and delivery drivers fairly? Do you think these are good jobs that pay well or that Amazon is exploitive with the demands it places on workers?,"Good Jobs, Exploitative, Unsure","Respondents who said 'exploitive' vs. those who said 'good jobs','unsure'",score (0–100),hs_,Negative_FLAG: 30%,,30%,higher score = more likely to hold the opposing/negative position,no,,Use mean score per district (0–100 scale). Scores above ~60 indicate meaningful lean; below ~40 indicate lean in opposite direction. Flag threshold (if present) marks the actionable tail population.
hs_autonomous_vehicles_do_not_alow,Autonomous Vehicles Do Not Alow,Autonomous Vehicles,"In your opinion, should self-driving or autonomous vehicles be allowed on the road?","Allowed, Not Allowed, Unsure",,score (0–100),hs_,,,,higher score = more aligned with dependent variable position,no,,Use mean score per district (0–100 scale). Scores above ~60 indicate meaningful lean; below ~40 indicate lean in opposite direction. Flag threshold (if present) marks the actionable tail population.
hs_autonomous_vehicles_allow,Autonomous Vehicles Allow,Autonomous Vehicles: Respondents who said 'allowed' vs. those who said 'not allowed' or ‘unsure’,"In your opinion, should self-driving or autonomous vehicles be allowed on the road?","Allowed, Not Allowed, Unsure",Respondents who said 'allowed' vs. those who said 'not allowed' or ‘unsure’,score (0–100),hs_,Postive_FLAG: 20%,20%,,higher score = more aligned with dependent variable position,no,,Use mean score per district (0–100 scale). Scores above ~60 indicate meaningful lean; below ~40 indicate lean in opposite direction. Flag threshold (if present) marks the actionable tail population.
hs_autonomous_vehicles_do_not_allow,Autonomous Vehicles Do Not Allow,"Autonomous Vehicles: Respondents who said 'not allowed' vs. those who said 'allowed','unsure'","In your opinion, should self-driving or autonomous vehicles be allowed on the road?","Allowed, Not Allowed, Unsure","Respondents who said 'not allowed' vs. those who said 'allowed','unsure'",score (0–100),hs_,Negative_FLAG: 30%,,30%,higher score = more aligned with dependent variable position,no,,Use mean score per district (0–100 scale). Scores above ~60 indicate meaningful lean; below ~40 indicate lean in opposite direction. Flag threshold (if present) marks the actionable tail population.
hs_ballot_dropoff_entire_ballot,Ballot Dropoff Entire Ballot,"Ballot Drop Off: Respondents who said 'entire ballot' vs. those who said 'some smaller','only top offices'","Ballots usually include many offices and issues. These include big races for president, governor and senator, smaller races for things like state legislature, judges and school board members, and issues such as referendums and bond measures. When you vote, do you usually vote in top-of-the-ballot races like for president, governor or senator, but skip the rest of the ballot; do you sometimes vote on other items on the ballot too; or do you always fill out your entire ballot every time?","Only Top Offices, Some Smaller Races, Entire Ballot","Respondents who said 'entire ballot' vs. those who said 'some smaller','only top offices'",score (0–100),hs_,Postive_FLAG: 30%,30%,,higher score = more aligned with dependent variable position,no,,Use mean score per district (0–100 scale). Scores above ~60 indicate meaningful lean; below ~40 indicate lean in opposite direction. Flag threshold (if present) marks the actionable tail population.
hs_ballot_dropoff_only_top,Ballot Dropoff Only Top,Ballot Drop Off: Respondents who said 'only top offices' or ‘some smaller races’ vs. those who said 'entire ballot',"Ballots usually include many offices and issues. These include big races for president, governor and senator, smaller races for things like state legislature, judges and school board members, and issues such as referendums and bond measures. When you vote, do you usually vote in top-of-the-ballot races like for president, governor or senator, but skip the rest of the ballot; do you sometimes vote on other items on the ballot too; or do you always fill out your entire ballot every time?","Only Top Offices, Some Smaller Races, Entire Ballot",Respondents who said 'only top offices' or ‘some smaller races’ vs. those who said 'entire ballot',score (0–100),hs_,Negative_FLAG: 15%,,15%,higher score = more aligned with dependent variable position,no,,Use mean score per district (0–100 scale). Scores above ~60 indicate meaningful lean; below ~40 indicate lean in opposite direction. Flag threshold (if present) marks the actionable tail population.
hs_universal_basic_income_support,Universal Basic Income Support,Basic Income: Respondents who said 'support' vs. those who said 'oppose',Do you support or not support the idea of a universal basic income -- a program that would guarantee a minimum income for all Americans?,"Support, Oppose, Unsure",Respondents who said 'support' vs. those who said 'oppose',score (0–100),hs_,Postive_FLAG: 25%,25%,,higher score = more likely to hold the stated/positive position,no,hs_universal_basic_income_oppose,Use mean score per district (0–100 scale). Scores above ~60 indicate meaningful lean; below ~40 indicate lean in opposite direction. Flag threshold (if present) marks the actionable tail population.
hs_universal_basic_income_oppose,Universal Basic Income Oppose,Basic Income: This DV is the inverse of the support score,Do you support or not support the idea of a universal basic income -- a program that would guarantee a minimum income for all Americans?,"Support, Oppose, Unsure",This DV is the inverse of the support score,score (0–100),hs_,Negative_FLAG: 25%,,25%,higher score = more likely to hold the opposing/negative position,no,hs_universal_basic_income_support,Use mean score per district (0–100 scale). Scores above ~60 indicate meaningful lean; below ~40 indicate lean in opposite direction. Flag threshold (if present) marks the actionable tail population.
hs_biden_foreign_policy_approval,Biden Foreign Policy Approval,Biden Foreign Policy: Respondents who said 'strongly approve' or 'somewhat approve' vs. those who said 'somewhat disapprove' or 'strongly disapprove' or ‘unsure’,Do you approve or disapprove of President Biden’s Foreign Policy Decisions including his handling of the situations in Israel and Ukraine?,"Strongly Approve, Somewhat Approve, Somewhat Disapprove, Strongly Disapprove, Unsure",Respondents who said 'strongly approve' or 'somewhat approve' vs. those who said 'somewhat disapprove' or 'strongly disapprove' or ‘unsure’,score (0–100),hs_,Postive_FLAG: 20%,20%,,higher score = more likely to hold the stated/positive position,no,hs_biden_foreign_policy_disapproval,Use mean score per district (0–100 scale). Scores above ~60 indicate meaningful lean; below ~40 indicate lean in opposite direction. Flag threshold (if present) marks the actionable tail population.
hs_biden_foreign_policy_disapproval,Biden Foreign Policy Disapproval,"Biden Foreign Policy: Respondents who said 'somewhat disapprove' or 'strongly disapprove' vs. those who said 'strongly approve', 'somewhat approve' ,or 'unsure'",Do you approve or disapprove of President Biden’s Foreign Policy Decisions including his handling of the situations in Israel and Ukraine?,"Strongly Approve, Somewhat Approve, Somewhat Disapprove, Strongly Disapprove, Unsure","Respondents who said 'somewhat disapprove' or 'strongly disapprove' vs. those who said 'strongly approve', 'somewhat approve' ,or 'unsure'",score (0–100),hs_,Negative_FLAG: 20%,,20%,higher score = more likely to hold the opposing/negative position,no,hs_biden_foreign_policy_approval,Use mean score per district (0–100 scale). Scores above ~60 indicate meaningful lean; below ~40 indicate lean in opposite direction. Flag threshold (if present) marks the actionable tail population.
hs_biden_foreign_policy_disapproval_dem,Biden Foreign Policy Disapproval Dem,"Biden Foreign Policy: Respondents who said 'stronglydisapprove' vs. those who said 'strongly approve', 'somewhat approve' ,or 'unsure'",Do you approve or disapprove of President Biden’s Foreign Policy Decisions including his handling of the situations in Israel and Ukraine?,"Strongly Approve, Somewhat Approve, Somewhat Disapprove, Strongly Disapprove, Unsure","Respondents who said 'stronglydisapprove' vs. those who said 'strongly approve', 'somewhat approve' ,or 'unsure'",score (0–100),hs_,*note- Universe includes likely Dem voters only; Negative_FLAG: 10%,,10%,higher score = more likely to hold the opposing/negative position,yes,,"Use mean score per district (0–100 scale). Scores above ~60 indicate meaningful lean; below ~40 indicate lean in opposite direction. Flag threshold (if present) marks the actionable tail population. Note: scored only on a partisan subgroup — denominator is that subgroup, not all voters."
hs_biden_excited,Biden Excited,Biden Reflection Excitement: Respondents who answered 'Very Excited' vs those who answered 'Not Excited',How excited are you to support President Joe Biden’s reelection campaign?,"Unsure,Very Excited,Not Excited,Somewhat Excited,",Respondents who answered 'Very Excited' vs those who answered 'Not Excited',score (0–100),hs_,Postive_FLAG: 20%,20%,,higher score = more likely to hold the stated/positive position,no,,Use mean score per district (0–100 scale). Scores above ~60 indicate meaningful lean; below ~40 indicate lean in opposite direction. Flag threshold (if present) marks the actionable tail population.
hs_biden_not_excited,Biden Not Excited,"Biden Reflection Excitement: Respondents who answered ‘Not Excited’' vs those who answered 'unsure','very excited','somewhat excited'",How excited are you to support President Joe Biden’s reelection campaign?,"Unsure,Very Excited,Not Excited,Somewhat Excited,","Respondents who answered ‘Not Excited’' vs those who answered 'unsure','very excited','somewhat excited'",score (0–100),hs_,Negative_FLAG: 20%,,20%,higher score = more likely to hold the stated/positive position,no,,Use mean score per district (0–100 scale). Scores above ~60 indicate meaningful lean; below ~40 indicate lean in opposite direction. Flag threshold (if present) marks the actionable tail population.
hs_biden_not_excited_dem,Biden Not Excited Dem,"Biden Reflection Excitement: Respondents who answered ‘Not Excited’' vs those who answered 'unsure','very excited','somewhat excited'",How excited are you to support President Joe Biden’s reelection campaign?,"Unsure,Very Excited,Not Excited,Somewhat Excited,","Respondents who answered ‘Not Excited’' vs those who answered 'unsure','very excited','somewhat excited'",score (0–100),hs_,*Note: This score was limited to likely Democrats; Negative_FLAG: 10%,,10%,higher score = more likely to hold the stated/positive position,yes,,"Use mean score per district (0–100 scale). Scores above ~60 indicate meaningful lean; below ~40 indicate lean in opposite direction. Flag threshold (if present) marks the actionable tail population. Note: scored only on a partisan subgroup — denominator is that subgroup, not all voters."
hs_blm_support,Blm Support,"Black Lives Matter: Respondents who said 'very important' vs. those who said'very exaggerated', 'somewhat exaggerated', or 'neutral'",Do you feel the concerns about police misconduct raised by Black Lives Matter are legitimate and important or do you feel they are exaggerated and unimportant?,"Very Important, Somewhat Important, Neutral, Somewhat Exaggerated, Very Exaggerated","Respondents who said 'very important' vs. those who said'very exaggerated', 'somewhat exaggerated', or 'neutral'",score (0–100),hs_,Postive_FLAG: 20%,20%,,higher score = more likely to hold the stated/positive position,no,hs_blm_oppose,Use mean score per district (0–100 scale). Scores above ~60 indicate meaningful lean; below ~40 indicate lean in opposite direction. Flag threshold (if present) marks the actionable tail population.
hs_blm_oppose,Blm Oppose,Black Lives Matter: Respondents who said 'somewhat exaggerated' or 'very exaggerated' vs. those who said 'very important' or 'somewhat important',Do you feel the concerns about police misconduct raised by Black Lives Matter are legitimate and important or do you feel they are exaggerated and unimportant?,"Very Important, Somewhat Important, Neutral, Somewhat Exaggerated, Very Exaggerated",Respondents who said 'somewhat exaggerated' or 'very exaggerated' vs. those who said 'very important' or 'somewhat important',score (0–100),hs_,Negative_FLAG: 20%,,20%,higher score = more likely to hold the opposing/negative position,no,hs_blm_support,Use mean score per district (0–100 scale). Scores above ~60 indicate meaningful lean; below ~40 indicate lean in opposite direction. Flag threshold (if present) marks the actionable tail population.
hs_cancel_student_debt_all,Cancel Student Debt All,"Cancel Student Debt: Respondents who said 'not far enough',’about right’ vs. those who said 'unsure',’too far’","How do you feel about Biden’s plan to cancel up to $10,000 of student debt: That it didn’t go far enough, that it seemed like the right policy, or that it went too far?","Unsure , Not Far Enough, About Right, Too Far","Respondents who said 'not far enough',’about right’ vs. those who said 'unsure',’too far’",score (0–100),hs_,Postive_FLAG: 20%,20%,,higher score = more aligned with dependent variable position,no,,Use mean score per district (0–100 scale). Scores above ~60 indicate meaningful lean; below ~40 indicate lean in opposite direction. Flag threshold (if present) marks the actionable tail population.
hs_cancel_student_debt_none,Cancel Student Debt None,"Cancel Student Debt: Respondents who said 'too far' vs. those who said 'about right', 'not far enough', or 'unsure'","How do you feel about Biden’s plan to cancel up to $10,000 of student debt: That it didn’t go far enough, that it seemed like the right policy, or that it went too far?","Unsure , Not Far Enough, About Right, Too Far","Respondents who said 'too far' vs. those who said 'about right', 'not far enough', or 'unsure'",score (0–100),hs_,Negative_FLAG: 30%,,30%,higher score = more aligned with dependent variable position,no,,Use mean score per district (0–100 scale). Scores above ~60 indicate meaningful lean; below ~40 indicate lean in opposite direction. Flag threshold (if present) marks the actionable tail population.
hs_candidate_left_of_biden_never,Candidate Left Of Biden Never,"Candidate Left of Biden: Respondents who answered ‘never’ vs those who answered ‘somewhat likely’, ‘very likely’","If a national candidate to the left of Joe Biden were to run for President in 2024 (this could be Jill Stein, Cornel West or someone else), how likely is it that you would support them?","Never Support Them, Unlikely , Somewhat Likely, Very Likely","Respondents who answered ‘never’ vs those who answered ‘somewhat likely’, ‘very likely’",score (0–100),hs_,Postive_FLAG: 20%,20%,,higher score = more aligned with dependent variable position,no,,Use mean score per district (0–100 scale). Scores above ~60 indicate meaningful lean; below ~40 indicate lean in opposite direction. Flag threshold (if present) marks the actionable tail population.
hs_candidate_left_of_biden_likely,Candidate Left Of Biden Likely,"Candidate Left of Biden: Respondents who answered 'very likely','somewhat likely' vs those who answered 'never','unlikely'","If a national candidate to the left of Joe Biden were to run for President in 2024 (this could be Jill Stein, Cornel West or someone else), how likely is it that you would support them?","Never Support Them, Unlikely , Somewhat Likely, Very Likely","Respondents who answered 'very likely','somewhat likely' vs those who answered 'never','unlikely'",score (0–100),hs_,Negative_FLAG: 10%,,10%,higher score = more aligned with dependent variable position,no,,Use mean score per district (0–100 scale). Scores above ~60 indicate meaningful lean; below ~40 indicate lean in opposite direction. Flag threshold (if present) marks the actionable tail population.
hs_candidate_left_of_biden_likely_dem,Candidate Left Of Biden Likely Dem,"Candidate Left of Biden: Respondents who answered 'never' vs 'somewhat likely','very likely' - Limited to Likely Dems","If a national candidate to the left of Joe Biden were to run for President in 2024 (this could be Jill Stein, Cornel West or someone else), how likely is it that you would support them?","Never Support Them, Unlikely , Somewhat Likely, Very Likely","Respondents who answered 'never' vs 'somewhat likely','very likely' - Limited to Likely Dems",score (0–100),hs_,*Note: This score was limited to likely Democrats; Postive_FLAG: 10%,10%,,higher score = more aligned with dependent variable position,yes,,"Use mean score per district (0–100 scale). Scores above ~60 indicate meaningful lean; below ~40 indicate lean in opposite direction. Flag threshold (if present) marks the actionable tail population. Note: scored only on a partisan subgroup — denominator is that subgroup, not all voters."
hs_candidate_mail_read_carefully,Candidate Mail Read Carefully,"Candidate Mail: Respondents who answered 'read it carefully’ vs those who answered 'glance at it','no'",Do you read mail sent by candidates running for office?,"No, Glance at it, Read it carefully","Respondents who answered 'read it carefully’ vs those who answered 'glance at it','no'",score (0–100),hs_,Postive_FLAG: 15%,15%,,higher score = more aligned with dependent variable position,no,,Use mean score per district (0–100 scale). Scores above ~60 indicate meaningful lean; below ~40 indicate lean in opposite direction. Flag threshold (if present) marks the actionable tail population.
hs_candidate_mail_do_not_read,Candidate Mail Do Not Read,Candidate Mail: Respondents who answered 'no' vs those who answered 'read it carefully',Do you read mail sent by candidates running for office?,"No, Glance at it, Read it carefully",Respondents who answered 'no' vs those who answered 'read it carefully',score (0–100),hs_,Negative_FLAG: 20%,,20%,higher score = more aligned with dependent variable position,no,,Use mean score per district (0–100 scale). Scores above ~60 indicate meaningful lean; below ~40 indicate lean in opposite direction. Flag threshold (if present) marks the actionable tail population.
hs_alexandria_ocasio_cortez_approval,Alexandria Ocasio Cortez Approval,"Candidates and Officials – Alexandria Ocasio Cortez: Respondents who answered ‘strongly approve’ vs those who answered 'strongly disapprove','somewhat disapprove'","Do you approve or disapprove of Alexandria Ocasia-Cortez, also known as AOC?","Never Heard of AOC, Strongly Approve, Somewhat Approve, Neither Approve or Disapprove, Somewhat Disapprove, Strongly Disapprove","Respondents who answered ‘strongly approve’ vs those who answered 'strongly disapprove','somewhat disapprove'",score (0–100),hs_,Postive_FLAG: 20%,20%,,higher score = more likely to hold the stated/positive position,no,hs_alexandria_ocasio_cortez_disapproval,Use mean score per district (0–100 scale). Scores above ~60 indicate meaningful lean; below ~40 indicate lean in opposite direction. Flag threshold (if present) marks the actionable tail population.
hs_alexandria_ocasio_cortez_disapproval,Alexandria Ocasio Cortez Disapproval,"Candidates and Officials – Alexandria Ocasio Cortez: Respondents who answered 'strongly disapprove','somewhat disapprove' vs those who answered 'strongly approve','somewhat approve','never heard of','neither approve nor disapprove'","Do you approve or disapprove of Alexandria Ocasia-Cortez, also known as AOC?","Never Heard of AOC, Strongly Approve, Somewhat Approve, Neither Approve or Disapprove, Somewhat Disapprove, Strongly Disapprove","Respondents who answered 'strongly disapprove','somewhat disapprove' vs those who answered 'strongly approve','somewhat approve','never heard of','neither approve nor disapprove'",score (0–100),hs_,Negative_FLAG: 20%,,20%,higher score = more likely to hold the opposing/negative position,no,hs_alexandria_ocasio_cortez_approval,Use mean score per district (0–100 scale). Scores above ~60 indicate meaningful lean; below ~40 indicate lean in opposite direction. Flag threshold (if present) marks the actionable tail population.
hs_alexandria_ocasio_cortez_dem_approval,Alexandria Ocasio Cortez Dem Approval,"Candidates and Officials – Alexandria Ocasio Cortez: Respondents who answered 'strongly approve' vs those who answered 'strongly disapprove','somewhat disapprove','never heard of','neither approve nor disapprove' – Limited to Likely Dems","Do you approve or disapprove of Alexandria Ocasia-Cortez, also known as AOC?","Never Heard of AOC, Strongly Approve, Somewhat Approve, Neither Approve or Disapprove, Somewhat Disapprove, Strongly Disapprove","Respondents who answered 'strongly approve' vs those who answered 'strongly disapprove','somewhat disapprove','never heard of','neither approve nor disapprove' – Limited to Likely Dems",score (0–100),hs_,*Note: This score was limited to likely Democrats; Postive_FLAG: 15%,15%,,higher score = more likely to hold the stated/positive position,yes,hs_alexandria_ocasio_cortez_dem_disapproval,"Use mean score per district (0–100 scale). Scores above ~60 indicate meaningful lean; below ~40 indicate lean in opposite direction. Flag threshold (if present) marks the actionable tail population. Note: scored only on a partisan subgroup — denominator is that subgroup, not all voters."
hs_alexandria_ocasio_cortez_dem_disapproval,Alexandria Ocasio Cortez Dem Disapproval,"Candidates and Officials – Alexandria Ocasio Cortez: Respondents who answered 'stronglydisapprove','somewhat disapprove'vs those who answered 'strongly approve','somewhat approve','never heard of','neither approve nor disapprove’ – Limited to Likely Dems","Do you approve or disapprove of Alexandria Ocasia-Cortez, also known as AOC?","Never Heard of AOC, Strongly Approve, Somewhat Approve, Neither Approve or Disapprove, Somewhat Disapprove, Strongly Disapprove","Respondents who answered 'stronglydisapprove','somewhat disapprove'vs those who answered 'strongly approve','somewhat approve','never heard of','neither approve nor disapprove’ – Limited to Likely Dems",score (0–100),hs_,*Note: This score was limited to likely Democrats; Negative_FLAG: 10%,,10%,higher score = more likely to hold the opposing/negative position,yes,hs_alexandria_ocasio_cortez_dem_approval,"Use mean score per district (0–100 scale). Scores above ~60 indicate meaningful lean; below ~40 indicate lean in opposite direction. Flag threshold (if present) marks the actionable tail population. Note: scored only on a partisan subgroup — denominator is that subgroup, not all voters."
hs_bernie_approval,Bernie Approval,"Candidates and Officials – Bernie Sanders: Respondents who answered 'strongly approve' vs those who answered 'strongly disapprove','somewhat disapprove'",Do you approve or disapprove of Senator Bernie Sanders?,"Never Heard of, Strongly Approve, Somewhat Approve, Neither Approve or Disapprove, Somewhat Disapprove, Strongly Disapprove","Respondents who answered 'strongly approve' vs those who answered 'strongly disapprove','somewhat disapprove'",score (0–100),hs_,Postive_FLAG: 20%,20%,,higher score = more likely to hold the stated/positive position,no,hs_bernie_disapproval,Use mean score per district (0–100 scale). Scores above ~60 indicate meaningful lean; below ~40 indicate lean in opposite direction. Flag threshold (if present) marks the actionable tail population.
hs_bernie_disapproval,Bernie Disapproval,"Candidates and Officials – Bernie Sanders: Respondents who answered 'strongly disapprove' vs those who answered 'strongly approve','somewhat approve','never heard of','neither approve nor disapprove'",Do you approve or disapprove of Senator Bernie Sanders?,"Never Heard of, Strongly Approve, Somewhat Approve, Neither Approve or Disapprove, Somewhat Disapprove, Strongly Disapprove","Respondents who answered 'strongly disapprove' vs those who answered 'strongly approve','somewhat approve','never heard of','neither approve nor disapprove'",score (0–100),hs_,Negative_FLAG: 20%,,20%,higher score = more likely to hold the opposing/negative position,no,hs_bernie_approval,Use mean score per district (0–100 scale). Scores above ~60 indicate meaningful lean; below ~40 indicate lean in opposite direction. Flag threshold (if present) marks the actionable tail population.
hs_bernie_dem_approval,Bernie Dem Approval,"Candidates and Officials – Bernie Sanders: Respondents who answered 'strongly approve' vs those who answered 'strongly disapprove','somewhat disapprove','never heard of','neither approve nor disapprove' – Limited to Likely Dems",Do you approve or disapprove of Senator Bernie Sanders?,"Never Heard of, Strongly Approve, Somewhat Approve, Neither Approve or Disapprove, Somewhat Disapprove, Strongly Disapprove","Respondents who answered 'strongly approve' vs those who answered 'strongly disapprove','somewhat disapprove','never heard of','neither approve nor disapprove' – Limited to Likely Dems",score (0–100),hs_,*Note: This score was limited to likely Democrats; Postive_FLAG: 15%,15%,,higher score = more likely to hold the stated/positive position,yes,hs_bernie_dem_disapproval,"Use mean score per district (0–100 scale). Scores above ~60 indicate meaningful lean; below ~40 indicate lean in opposite direction. Flag threshold (if present) marks the actionable tail population. Note: scored only on a partisan subgroup — denominator is that subgroup, not all voters."
